Promoter	Predicted Expression
RPL10_Mut2	1.60977495479
RPL42A	1.60977495479
RPS15	1.60977495479
RPL4A_Mut4	1.60977495479
RPL14B_Mut1	1.60977495479
RPL6A	1.60977495479
RPL4A_Mut3	1.60977495479
RPL39_Mut1	1.60977495479
RPP1B_Mut1	1.60977495479
RPS19B	1.60977495479
RPS30A	1.60977495479
RPL36B_Mut1	1.60977495479
RPL13A_Mut1	1.60977495479
RPL11A	1.60977495479
RPS17B	1.60977495479
RPL3_Mut3	1.60977495479
RPL28	1.60977495479
RPL3_Mut4	1.60977495479
RPL10_Mut3	1.60977495479
RPS9A_Mut1	1.60977495479
RPL10_Mut4	1.60977495479
RPL41B_Mut1	1.60977495479
RPS12_Mut1	1.60977495479
RPL39_Mut2	1.60977495479
RPL3_Mut5	1.60977495479
RPS14B_Mut1	1.60977495479
RPL4A_Mut2	1.60977495479
RPL7B_Mut2	1.60977495479
RPS20_Mut1	1.60977495479
RPS5	1.60977495479
RPL21A	1.60977495479
RPL4A_Mut5	1.60977495479
RPS22A	1.60977495479
RPL15A_Mut1	1.60977495479
RPL3_Mut1	1.60977495479
RPL15A_Mut2	1.60977495479
RPL37A	1.60977495479
RPL8A_Mut3	1.60977495479
RPS28A	1.60977495479
RPL7B_Mut1	1.60977495479
RPL26A	1.60977495479
RPL10_Mut1	1.60977495479
RPL3_Mut2	1.60977495479
RPS9B	1.60977495479
RPL8A_Mut2	1.60977495479
RPL8A_Mut1	1.60977495479
RPL4A_Mut6	1.60977495479
RPL12B	1.60977495479
RPL37B	1.60977495479
RPS10B	1.60977495479
RPL35B	1.60977495479
RPL21B	1.60977495479
RPL4A_Mut1	1.60977495479
