Promoter	Predicted Expression
RPL3_Mut3	3.55488284174
RPL4A_Mut3	2.53921531947
RPL13A_Mut1	1.2013536559
RPS28A	1.02143075522
RPL8A_Mut3	3.31678111393
RPL10_Mut2	2.83732579876
RPL4A_Mut1	2.53361484978
RPL15A_Mut2	2.55342118447
RPL6A	1.32081308729
RPL10_Mut3	2.8373258164
RPS20_Mut1	2.08906921797
RPL12B	1.42229522123
RPL7B_Mut2	2.88750329365
RPL41B_Mut1	2.09936208668
RPS9A_Mut1	3.17796569928
RPL37A	1.59334289458
RPL37B	1.4622308698
RPL42A	1.17562255329
RPL15A_Mut1	2.54354284533
RPL4A_Mut2	2.53939075837
RPS10B	1.08290842263
RPS15	1.57071115474
RPL39_Mut1	2.03593532873
RPS14B_Mut1	3.08549590784
RPL26A	1.41786255539
RPL35B	1.92562397524
RPL10_Mut4	2.83667401027
RPL3_Mut2	3.54891325805
RPS19B	1.80104811073
RPL21B	1.20004896625
RPL11A	1.37340228844
RPL3_Mut5	3.55772585816
RPL4A_Mut4	2.53898951819
RPS9B	1.68717966997
RPL7B_Mut1	2.88605906249
RPS12_Mut1	1.36908064986
RPL4A_Mut5	2.53705416066
RPP1B_Mut1	1.75875322748
RPL21A	1.5741382482
RPS5	1.70866172442
RPL3_Mut4	3.55667731448
RPL28	1.45837318215
RPL39_Mut2	2.03601200233
RPL14B_Mut1	1.43093741083
RPS17B	1.57869184851
RPL10_Mut1	2.82120057448
RPL36B_Mut1	1.58244019686
RPL8A_Mut2	3.31119172337
RPS22A	1.6202731517
RPS30A	1.20795915428
RPL8A_Mut1	3.27853891244
RPL4A_Mut6	2.53922324592
RPL3_Mut1	3.55560323719
